GameID,ShooterID,EventID,CnS,Points,TimeCns,v_CnS,dist_at_shot,shot_angle,shooter_move_angle,shooter_travel,DefID,def_dist_at_shot,def_avg_vel,SpeedBeforeShot0.5s,SBS1.0s,SBS1.5s,SBS2.0s,SBS2.5s,SBS3.0s,SBS3.5s,SBS4.0s,SBS4.5s,SBS5.0s,SpeedBeforeCatch0.5s,SBC1.0s,SBC1.5s,SBC2.0s,SBC2.5s,SBC3.0s,SBC3.5s,SBC4.0s,SBC4.5s,SBC5.0s
21500477,1626162,377,TRUE,0,0.32,4.50734783,25.6529946,43.59894586,39.51194567,1.107570538,202335,10.69097456,12.60292149,,,,,,,,,,,5.368277073,4.312203829,4.552128516,5.073952093,5.71042792,6.028166332,6.097899657,6.292538539,6.580745706,6.93847128
21500477,203082,398,TRUE,3,0.2,4.201398634,23.80781191,47.82334691,158.8410595,-0.778750485,1626162,5.793745205,3.700562109,,,,,,,,,,,10.07970074,13.3993877,14.81528077,15.8450009,15.88361178,15.15193084,14.19061631,13.32492227,12.42388024,
21500477,2743,399,TRUE,0,1.08,1.873538343,25.03976655,32.4767831,130.0507102,-0.993511906,202335,8.713413379,-0.89435474,1.735253708,1.653190827,,,,,,,,,5.995571211,5.787877761,5.010436459,4.716148536,,,,,,
21500477,200768,404,FALSE,0,1.8,4.977688776,24.25056031,38.11955003,147.1865864,-6.049917978,201196,4.752299556,1.743019103,1.446780881,3.367805627,4.531735381,,,,,,,,,,,,,,,,,
21500477,203082,409,TRUE,0,0.84,5.988869595,24.01809305,41.79441964,107.9808211,-1.045933714,1626162,4.802060273,3.287154767,4.236882775,,,,,,,,,,7.449929497,6.418850875,5.257669309,4.26687859,3.471926377,3.031548769,2.679040674,2.378292068,2.19957335,2.181176541
21500477,203082,415,TRUE,3,0.48,9.393774247,24.73875458,47.58306472,123.3991944,-2.160484684,203490,5.959878279,2.580753217,,,,,,,,,,,14.51627199,15.79748626,14.7744287,13.34677541,12.5968262,12.0108473,11.76947653,11.57895559,11.34510656,10.91794331
21500477,203490,422,TRUE,3,0.24,0.620419888,24.16627716,46.26314459,144.1175671,-0.11993278,202335,12.07109125,7.153111497,,,,,,,,,,,2.917689237,5.127289061,5.70255869,5.117029203,5.80962986,6.474291445,6.317733281,5.974263362,5.66016379,5.467858518
21500477,201960,458,FALSE,0,0.76,4.369669719,37.18583025,21.26172319,11.46392779,2.899501453,203490,6.666504155,5.941146079,2.443249487,,,,,,,,,,13.20278027,13.68629393,11.86420654,9.459941606,8.301747037,7.735364484,7.638391944,7.008053042,6.720389134,6.764868301
21500477,202322,464,FALSE,0,4.76,7.960796196,26.81796338,42.96155388,106.7877401,6.503441862,202687,10.50650067,3.031642995,2.808472478,3.636241032,4.041422936,4.564391304,5.261370634,6.347088153,6.708895527,7.003493167,7.454348615,,15.87128806,14.80891517,,,,,,,,
21500477,202322,491,TRUE,0,0.44,3.886823114,27.00392678,42.79537228,9.225586538,1.672137259,202709,9.781397151,12.31506204,,,,,,,,,,,2.471526918,1.786764512,1.627697938,2.052690262,2.497170593,2.896666571,3.249575952,3.49392765,3.689662346,3.742285066
